city,latitude,longitude,date,nkill,nwound,gname
Grozny,43.320229,45.654491,2000-06-12,7.0,0.0,Chechen Rebels
Wattala,6.978143,79.889327,2000-06-14,3.0,12.0,Liberation Tigers of Tamil Eelam (LTTE)
Mullaitivu,9.267091,80.814248,2000-06-19,0.0,,Liberation Tigers of Tamil Eelam (LTTE)
Jaffna,9.666399,80.020477,2000-06-26,16.0,,Liberation Tigers of Tamil Eelam (LTTE)
Argun,43.3,45.866667,2000-07-02,50.0,81.0,Chechen Rebels
Gudermes,43.35,46.1,2000-07-02,6.0,0.0,Chechen Rebels
Gudermes,43.35,46.1,2000-07-02,9.0,0.0,Chechen Rebels
Urus-Martan,43.127544,45.539974,2000-07-02,2.0,0.0,Chechen Rebels
Oyskhara,43.2572,46.243,2000-07-02,4.0,20.0,Chechen Rebels
Vavuniya,8.757816,80.487907,2000-08-16,2.0,6.0,Liberation Tigers of Tamil Eelam (LTTE)
Colombo,6.941837,79.861687,2000-09-15,7.0,24.0,Liberation Tigers of Tamil Eelam (LTTE)
Colombo,6.941837,79.861687,2000-09-16,3.0,12.0,Liberation Tigers of Tamil Eelam (LTTE)
Zamboanga City,6.929089,122.07885,2000-09-20,1.0,9.0,Abu Sayyaf Group (ASG)
Jaffna district,9.66123,80.02558,2000-10-02,23.0,50.0,Unknown
Medawachchiya,8.53839,80.49328,2000-10-05,12.0,45.0,Liberation Tigers of Tamil Eelam (LTTE)
Aden,12.825647,44.846416,2000-10-12,19.0,38.0,Al-Qaida
Colombo,6.941837,79.861687,2000-10-19,4.0,21.0,Liberation Tigers of Tamil Eelam (LTTE)
Trincomalee,8.577826,81.218719,2000-10-23,24.0,43.0,Liberation Tigers of Tamil Eelam (LTTE)
Khan Yunis,31.346964,34.30143,2000-10-26,1.0,1.0,Palestinian Islamic Jihad (PIJ)
Trincomalee,8.577826,81.218719,2000-11-04,,0.0,Liberation Tigers of Tamil Eelam (LTTE)
Gaza,31.502407,34.459743,2000-11-06,0.0,0.0,Unknown
Istanbul,41.106178,28.689863,2000-11-22,1.0,1.0,Unknown
Manila,14.599352,120.984772,2000-11-23,0.0,0.0,Left-wing extremists
Gudermes,43.35,46.1,2000-12-08,3.0,12.0,Chechen Rebels
Grozny,43.320229,45.654491,2000-12-19,0.0,0.0,Chechen Rebels
Mehola,32.365329,35.516113,2000-12-22,1.0,3.0,Hamas (Islamic Resistance Movement)
Istanbul,41.106178,28.689863,2001-01-03,3.0,7.0,Devrimici Halk Kurtulus Cephesi (DHKP/C)
Netanya,32.325073,34.854663,2001-01-08,1.0,24.0,Hamas (Islamic Resistance Movement)
Srinagar,34.002039,74.762446,2001-01-16,11.0,14.0,Lashkar-e-Taiba (LeT)
Umm al-Fahm,32.52021,35.151958,2001-03-02,2.0,9.0,Hamas (Islamic Resistance Movement)
Netanya,32.325073,34.854663,2001-03-04,4.0,,Palestinian Extremists
Jerusalem,31.784838,35.224613,2001-03-27,1.0,28.0,Hamas (Islamic Resistance Movement)
Qalqilya,32.189444,34.970556,2001-03-28,3.0,4.0,Hamas (Islamic Resistance Movement)
Kefar Sava,32.178344,34.907985,2001-04-22,2.0,50.0,Hamas (Islamic Resistance Movement)
Magam,34.092796,74.589592,2001-05-09,8.0,,Lashkar-e-Taiba (LeT)
Netanya,32.325073,34.854663,2001-05-18,4.0,31.0,Hamas (Islamic Resistance Movement)
Hadera,32.434788,34.92157,2001-05-25,2.0,60.0,Palestinian Islamic Jihad (PIJ)
Gaza,31.502407,34.459743,2001-05-29,2.0,0.0,Unknown
Tel Aviv,32.08297,34.811886,2001-06-01,22.0,100.0,Hamas (Islamic Resistance Movement)
Narayanganj,23.618999,90.498032,2001-06-16,21.0,100.0,Unknown
Dugit,31.573713,34.489043,2001-06-22,3.0,1.0,Hamas (Islamic Resistance Movement)
Kissufim,31.376445,34.369413,2001-07-09,0.0,0.0,Hamas (Islamic Resistance Movement)
Binyamina,32.519469,34.949398,2001-07-16,3.0,8.0,Palestinian Islamic Jihad (PIJ)
Katunayake,7.180155,79.884252,2001-07-24,21.0,12.0,Liberation Tigers of Tamil Eelam (LTTE)
Tel Teomim,32.442482,35.496686,2001-08-02,0.0,0.0,Palestinian Extremists
Jerusalem,31.771599,35.2034,2001-08-09,16.0,130.0,Hamas (Islamic Resistance Movement)
Kiryat Motzkin,32.839067,35.080498,2001-08-12,1.0,15.0,Palestinian Islamic Jihad (PIJ)
Ambon,-3.648426,128.16576,2001-08-15,3.0,6.0,Unknown
Haifa,32.793921,34.990615,2001-08-17,0.0,0.0,Palestinian Islamic Jihad (PIJ)
Jerusalem,31.784838,35.224613,2001-09-04,1.0,0.0,Unknown
Nahariyya,33.004219,35.092571,2001-09-09,3.0,20.0,Unknown
Nahariyya,33.004219,35.092571,2001-09-09,5.0,30.0,Hamas (Islamic Resistance Movement)
Khodja Baha ud din,37.340225,69.536949,2001-09-10,3.0,1.0,Taliban
Istanbul,41.106178,28.689863,2001-09-10,3.0,16.0,Devrimici Halk Kurtulus Cephesi (DHKP/C)
New York City,40.697132,-73.931351,2001-09-11,1384.0,8190.0,Al-Qaida
New York City,40.697132,-73.931351,2001-09-11,1383.0,8191.0,Al-Qaida
Arlington,38.878742,-77.100006,2001-09-11,190.0,106.0,Al-Qaida
Shanksville,40.018464,-78.907197,2001-09-11,44.0,6.0,Al-Qaida
Haifa,32.793921,34.990615,2001-12-09,1.0,28.0,Palestinian Extremists
Trincomalee,8.577826,81.218719,2001-09-16,31.0,65.0,Liberation Tigers of Tamil Eelam (LTTE)
Argun,43.3,45.866667,2001-09-17,1.0,0.0,Unknown
Handwara,34.399281,74.281273,2001-09-17,12.0,9.0,Lashkar-e-Taiba (LeT)
Srinagar,34.08374,74.789902,2001-10-01,31.0,60.0,Jaish-e-Mohammad (JeM)
Beit Shean,32.496086,35.498352,2001-10-07,2.0,0.0,Palestinian Islamic Jihad (PIJ)
Be'eri,31.348022,34.491093,2001-10-17,1.0,2.0,Popular Front for the Liberation of Palestine (PFLP)
Colombo,6.897593,79.881483,2001-10-29,6.0,16.0,Liberation Tigers of Tamil Eelam (LTTE)
Point Pedro,9.82486,80.236347,2001-10-30,10.0,,Liberation Tigers of Tamil Eelam (LTTE)
Unknown,,,2001-11-09,1.0,3.0,Liberation Tigers of Tamil Eelam (LTTE)
Batticaloa,7.733107,81.68882,2001-11-15,4.0,9.0,Liberation Tigers of Tamil Eelam (LTTE)
Bandipora,34.419539,74.63827,2001-11-24,2.0,0.0,Lashkar-e-Taiba (LeT)
Erez,31.558212,34.543305,2001-11-26,1.0,2.0,Hamas (Islamic Resistance Movement)
Pardes Hanna,32.473605,34.975094,2001-11-29,3.0,8.0,Palestinian Islamic Jihad (PIJ)
Urus-Martan,43.127544,45.539974,2001-11-29,4.0,1.0,Chechen Rebels
Hadera,32.434788,34.92157,2001-11-29,4.0,8.0,Palestinian Islamic Jihad (PIJ)
Jerusalem,31.771599,35.2034,2001-12-01,10.0,171.0,Hamas (Islamic Resistance Movement)
Haifa,32.793921,34.990615,2001-12-02,16.0,38.0,Hamas (Islamic Resistance Movement)
Gush Qatif,31.355579,34.274364,2001-12-12,2.0,4.0,Hamas (Islamic Resistance Movement)
New Delhi,28.585836,77.153336,2001-12-13,14.0,,Jaish-e-Mohammad (JeM)
Paris,48.856644,2.34233,2001-12-22,0.0,1.0,Al-Qaida
Zhongxiang,31.16782,112.588121,2001-12-28,2.0,1.0,Unknown
Tampa,27.947354,-82.45875,2002-01-05,1.0,0.0,Jihadi-inspired extremists
Kupwara,34.526179,74.254614,2002-01-09,3.0,2.0,Unknown
Tel Aviv,32.08297,34.811886,2002-01-25,1.0,25.0,Hamas (Islamic Resistance Movement)
Jerusalem,31.771599,35.2034,2002-01-27,2.0,,Unknown
Tayibe,32.266734,35.010478,2002-01-30,1.0,2.0,Al-Aqsa Martyrs Brigade
Karnei Shomron,32.171631,35.097438,2002-02-16,3.0,20.0,Popular Front for the Liberation of Palestine (PFLP)
Hadera,32.434788,34.92157,2002-02-17,2.0,4.0,Al-Aqsa Martyrs Brigade
Jerusalem district,31.783343,35.266543,2002-02-18,2.0,1.0,Al-Aqsa Martyrs Brigade
Gush Qatif,31.355579,34.274364,2002-02-18,4.0,3.0,Al-Aqsa Martyrs Brigade
Mehola,32.365302,35.516025,2002-02-19,1.0,0.0,Al-Aqsa Martyrs Brigade
Efrat,31.653707,35.149941,2002-02-22,1.0,1.0,Unknown
Efrat,31.653707,35.149941,2002-02-23,1.0,1.0,Al-Aqsa Martyrs Brigade
Maccabim,31.892497,35.034202,2002-02-28,3.0,3.0,Unknown
Jerusalem,31.771599,35.2034,2002-03-02,11.0,60.0,Al-Aqsa Martyrs Brigade
Afula,32.608879,35.289967,2002-03-05,2.0,5.0,Palestinian Islamic Jihad (PIJ)
Ariel,32.100242,35.166667,2002-03-07,2.0,14.0,Al-Aqsa Martyrs Brigade
Jerusalem,31.771599,35.2034,2002-03-09,12.0,50.0,Al-Aqsa Martyrs Brigade
Jerusalem,31.771599,35.2034,2002-03-17,1.0,7.0,Palestinian Islamic Jihad (PIJ)
Umm al-Fahm,32.52021,35.151958,2002-03-20,8.0,29.0,Palestinian Islamic Jihad (PIJ)
Jerusalem,31.771599,35.2034,2002-03-21,4.0,60.0,Al-Aqsa Martyrs Brigade
Jenin,32.460617,35.301247,2002-03-22,1.0,1.0,Al-Aqsa Martyrs Brigade
Jerusalem,31.771599,35.2034,2002-03-26,2.0,0.0,Al-Aqsa Martyrs Brigade
Netanya,32.332612,34.851529,2002-03-27,31.0,140.0,Hamas (Islamic Resistance Movement)
Jerusalem,31.771599,35.2034,2002-03-29,3.0,20.0,Al-Aqsa Martyrs Brigade
Jammu,32.726602,74.857026,2002-03-30,10.0,20.0,Islamic Front
Tel Aviv,32.08297,34.811886,2002-03-30,1.0,32.0,Al-Aqsa Martyrs Brigade
Haifa,32.793921,34.990615,2002-03-31,15.0,35.0,Hamas (Islamic Resistance Movement)
Efrat,31.653707,35.149941,2002-03-31,1.0,4.0,Al-Aqsa Martyrs Brigade
Jerusalem,31.771599,35.2034,2002-04-01,2.0,0.0,Al-Aqsa Martyrs Brigade
Haifa,32.793921,34.990615,2002-04-11,10.0,,Palestinian Extremists
Er Riadh,33.819136,10.855024,2002-04-11,21.0,30.0,Al-Qaida
Jerusalem,31.771599,35.2034,2002-04-12,7.0,50.0,Al-Aqsa Martyrs Brigade
Qatif,31.366959,34.316491,2002-04-19,1.0,2.0,Palestinian Islamic Jihad (PIJ)
Netzarim,31.502407,34.459743,2002-04-22,3.0,0.0,Unknown
Rishon le Zion,31.970541,34.791725,2002-05-07,15.0,58.0,Hamas (Islamic Resistance Movement)
Karachi,24.891115,67.143311,2002-05-08,14.0,20.0,Al-Qaida
Jammu,32.65905,74.881414,2002-05-14,34.0,45.0,Lashkar-e-Taiba (LeT)
Netanya,32.325073,34.854663,2002-05-19,20.0,20.0,Hamas (Islamic Resistance Movement)
Netanya,32.325073,34.854663,2002-05-20,4.0,50.0,Hamas (Islamic Resistance Movement)
Ti'anik,32.520252,35.220344,2002-05-20,1.0,0.0,Hamas (Islamic Resistance Movement)
Rishon le Zion,31.970541,34.791725,2002-05-22,4.0,40.0,Al-Aqsa Martyrs Brigade
Tel Aviv,32.08297,34.811886,2002-05-24,1.0,2.0,Al-Aqsa Martyrs Brigade
Jenin,32.460617,35.301247,2002-05-25,0.0,0.0,Unknown
Petah Tiqwa,32.089161,34.88382,2002-05-27,3.0,50.0,Al-Aqsa Martyrs Brigade
Grozny,43.320229,45.654491,2002-05-31,5.0,,Chechen Rebels
Megiddo,32.581387,35.182465,2002-06-05,17.0,40.0,Palestinian Islamic Jihad (PIJ)
Herzliya Pituah,32.08297,34.811886,2002-06-11,2.0,15.0,Unknown
Karachi,24.891115,67.143311,2002-06-14,12.0,51.0,Lashkar-e-Omar
Jerusalem,31.771599,35.2034,2002-06-17,19.0,48.0,Hamas (Islamic Resistance Movement)
Ayash Salem,32.543715,35.201409,2002-06-17,1.0,0.0,Unknown
Jerusalem,31.784838,35.224613,2002-06-19,7.0,37.0,Hamas (Islamic Resistance Movement)
Tel Aviv,32.08297,34.811886,2002-07-17,5.0,40.0,Palestinian Islamic Jihad (PIJ)
Jerusalem,31.771599,35.2034,2002-07-30,1.0,5.0,Al-Aqsa Martyrs Brigade
Rafah,31.278791,34.256435,2002-08-01,1.0,1.0,Hamas (Islamic Resistance Movement)
Jerusalem,31.771599,35.2034,2002-08-01,8.0,80.0,Hamas (Islamic Resistance Movement)
Bagram Air Field,34.944168,69.273331,2002-08-02,1.0,5.0,Unknown
Jerusalem,31.771599,35.2034,2002-08-04,4.0,0.0,Hamas (Islamic Resistance Movement)
Hadera,32.434788,34.92157,2002-08-05,1.0,1.0,Unknown
